,model_index,model,num_clusters,data_pipeline_index,transformation_method,normalize_method,SC,CHI,DBI
0,kmeans,KMeans,4,$P_{1}$,,,0.7117,99388.61,0.4755
1,hclust,Agglomerative,4,$P_{1}$,,,0.7101,98356.3247,0.4758
2,meanshift,MeanShift,4,$P_{1}$,,,0.7117,99382.9519,0.4756
3,kmeans,KMeans,5,$P_{2}$,,zscore,0.2186,3620.2148,1.865
4,hclust,Agglomerative,6,$P_{2}$,,zscore,0.1891,3033.9224,1.8813
5,meanshift,MeanShift,1,$P_{2}$,,zscore,0.0,0.0,0.0
6,kmeans,KMeans,5,$P_{3}$,,minmax,0.3437,7154.0491,1.5209
7,hclust,Agglomerative,4,$P_{3}$,,minmax,0.3747,7851.7142,1.4039
8,meanshift,MeanShift,2,$P_{3}$,,minmax,0.4027,10750.5777,1.119
9,kmeans,KMeans,5,$P_{4}$,,maxabs,0.3441,7162.4272,1.5148
10,hclust,Agglomerative,4,$P_{4}$,,maxabs,0.3746,7845.6106,1.4036
11,meanshift,MeanShift,2,$P_{4}$,,maxabs,0.4021,10718.7755,1.1199
12,kmeans,KMeans,4,$P_{5}$,,robust,0.3514,7669.0127,1.3448
13,hclust,Agglomerative,4,$P_{5}$,,robust,0.3037,6929.9167,1.5351
14,meanshift,MeanShift,2,$P_{5}$,,robust,0.652,8809.2248,0.5717
15,kmeans,KMeans,5,$P_{6}$,yeo-johnson,,0.602,18893.585,0.9479
16,hclust,Agglomerative,5,$P_{6}$,yeo-johnson,,0.5753,16729.9033,1.0706
17,meanshift,MeanShift,2,$P_{6}$,yeo-johnson,,0.639,27583.7521,0.6433
18,kmeans,KMeans,5,$P_{7}$,yeo-johnson,zscore,0.2185,4133.8027,1.7617
19,hclust,Agglomerative,5,$P_{7}$,yeo-johnson,zscore,0.1953,3749.2588,1.8909
20,meanshift,MeanShift,2,$P_{7}$,yeo-johnson,zscore,0.3412,7833.7724,1.341
21,kmeans,KMeans,5,$P_{8}$,yeo-johnson,minmax,0.3037,6794.3161,1.4906
22,hclust,Agglomerative,4,$P_{8}$,yeo-johnson,minmax,0.3373,7569.2856,1.4782
23,meanshift,MeanShift,2,$P_{8}$,yeo-johnson,minmax,0.4066,11688.5227,1.0823
24,kmeans,KMeans,5,$P_{9}$,yeo-johnson,maxabs,0.3041,6726.1254,1.5256
25,hclust,Agglomerative,4,$P_{9}$,yeo-johnson,maxabs,0.3403,7457.5812,1.4719
26,meanshift,MeanShift,2,$P_{9}$,yeo-johnson,maxabs,0.4011,11176.1,1.0955
27,kmeans,KMeans,5,$P_{10}$,yeo-johnson,robust,0.2264,4206.1589,1.5352
28,hclust,Agglomerative,5,$P_{10}$,yeo-johnson,robust,0.163,3603.6385,1.726
29,meanshift,MeanShift,1,$P_{10}$,yeo-johnson,robust,0.0,0.0,0.0
30,kmeans,KMeans,4,$P_{11}$,quantile,,0.4624,11827.3598,1.2293
31,hclust,Agglomerative,5,$P_{11}$,quantile,,0.4942,11072.0702,1.1251
32,meanshift,MeanShift,1,$P_{11}$,quantile,,0.0,0.0,0.0
33,kmeans,KMeans,5,$P_{12}$,quantile,zscore,0.2045,3627.9506,1.8595
34,hclust,Agglomerative,6,$P_{12}$,quantile,zscore,0.1779,2889.317,1.8894
35,meanshift,MeanShift,1,$P_{12}$,quantile,zscore,0.0,0.0,0.0
36,kmeans,KMeans,4,$P_{13}$,quantile,minmax,0.4624,11827.3598,1.2293
37,hclust,Agglomerative,5,$P_{13}$,quantile,minmax,0.4942,11072.0702,1.1251
38,meanshift,MeanShift,1,$P_{13}$,quantile,minmax,0.0,0.0,0.0
39,kmeans,KMeans,4,$P_{14}$,quantile,maxabs,0.4624,11827.3598,1.2293
40,hclust,Agglomerative,5,$P_{14}$,quantile,maxabs,0.4942,11072.0702,1.1251
41,meanshift,MeanShift,1,$P_{14}$,quantile,maxabs,0.0,0.0,0.0
42,kmeans,KMeans,5,$P_{15}$,quantile,robust,0.3264,4040.4576,1.3211
43,hclust,Agglomerative,5,$P_{15}$,quantile,robust,0.3278,3504.2283,1.4003
44,meanshift,MeanShift,11,$P_{15}$,quantile,robust,0.3375,918.1624,1.253
